caso;escuela;tama–o_escuela;estudiante;income;stand_test_previo;sgenero;stand_exam
95;2;0,3951492;112;bottom 25%;0,7843622;F;0,4026692
96;2;0,3951492;113;mid 50%;-0,786016;F;-0,623051
97;2;0,3951492;111;bottom 25%;1,9414832;F;1,3101422
98;2;0,3951492;129;mid 50%;-0,868667;F;-1,029067
99;2;0,3951492;119;bottom 25%;1,9414832;F;2,4086922
100;2;0,3951492;115;mid 50%;-0,372758;F;0,8219882
101;2;0,3951492;147;mid 50%;0,1231502;F;0,6107292
102;2;0,3951492;31;bottom 25%;2,0241342;F;2,7018012
103;2;0,3951492;26;bottom 25%;1,9414832;F;1,7348992
104;2;0,3951492;38;bottom 25%;1,6935282;F;0,4026692
105;2;0,3951492;32;mid 50%;-0,45541;F;-1,962075
106;2;0,3951492;35;bottom 25%;1,3629222;F;0,3280722
107;2;0,3951492;39;top 25%;-2,76965;F;-1,438662
108;2;0,3951492;3;mid 50%;0,2884532;F;2,0397092
109;2;0,3951492;5;mid 50%;-0,45541;F;0,6107292
110;2;0,3951492;1;mid 50%;-0,124804;F;-0,555112
111;2;0,3951492;15;mid 50%;0,3711052;F;2,0397092
112;2;0,3951492;11;top 25%;-1,695182;F;-0,623051
113;2;0,3951492;8;mid 50%;-0,620713;F;-1,118624
114;2;0,3951492;68;mid 50%;0,0404992;F;0,7472282
115;2;0,3951492;59;bottom 25%;2,4373912;F;1,8138272
116;2;0,3951492;60;bottom 25%;2,0241342;F;1,9771072
117;2;0,3951492;57;mid 50%;0,2058022;F;-1,219486
118;2;0,3951492;55;bottom 25%;1,2802712;F;0,4026692
119;2;0,3951492;61;bottom 25%;2,1894372;F;1,1094382
120;2;0,3951492;65;bottom 25%;1,6108772;F;1,0396082
121;2;0,3951492;40;mid 50%;-0,538061;F;-0,265159
122;2;0,3951492;44;bottom 25%;0,7017112;F;1,6618062
123;2;0,3951492;46;bottom 25%;2,1894372;F;2,1029752
124;2;0,3951492;43;bottom 25%;1,2802712;F;3,1340482
125;2;0,3951492;54;mid 50%;-0,45541;F;0,6107292
126;2;0,3951492;53;mid 50%;-0,042152;F;0,6107292
127;2;0,3951492;49;top 25%;-1,116621;F;-1,335315
128;2;0,3951492;50;top 25%;-1,116621;F;-0,85267
129;3;0,5141552;136;mid 50%;-0,042152;F;-0,197611
130;3;0,5141552;169;bottom 25%;1,3629222;F;2,9246672
131;3;0,5141552;171;bottom 25%;1,3629222;F;-0,699505
132;3;0,5141552;121;bottom 25%;1,4455742;M;2,4086922
133;3;0,5141552;122;mid 50%;-0,124804;M;0,8965662
134;3;0,5141552;120;mid 50%;-0,538061;M;0,1340672
135;3;0,5141552;119;bottom 25%;0,7017112;M;-0,699505
136;3;0,5141552;134;mid 50%;-0,042152;M;0,0043222
137;3;0,5141552;123;top 25%;-1,860484;M;-0,062088
138;3;0,5141552;125;mid 50%;0,1231502;F;1,1758492
139;3;0,5141552;204;bottom 25%;2,4373912;M;1,9771072
140;3;0,5141552;206;bottom 25%;1,2802712;F;-0,265159
141;3;0,5141552;197;mid 50%;-0,620713;F;0,6787592
142;3;0,5141552;195;bottom 25%;1,1976192;F;0,2613242
143;3;0,5141552;212;mid 50%;0,2058022;F;0,9675862
144;3;0,5141552;207;mid 50%;-0,207455;F;1,5061852
145;3;0,5141552;211;bottom 25%;0,3711052;M;1,3747412
146;3;0,5141552;208;mid 50%;-0,207455;M;0,2613242
147;3;0,5141552;172;bottom 25%;1,1976192;M;1,8138272
148;3;0,5141552;181;mid 50%;0,3711052;F;0,1340672
149;3;0,5141552;180;top 25%;-1,116621;M;-1,118624
150;3;0,5141552;173;mid 50%;0,2884532;F;0,4026692
151;3;0,5141552;194;bottom 25%;0,7017112;F;1,5792202
152;3;0,5141552;188;bottom 25%;0,6190592;M;0,7472282
153;3;0,5141552;219;mid 50%;0,2884532;F;0,4026692
154;3;0,5141552;41;bottom 25%;1,2802712;F;1,8138272
155;3;0,5141552;36;bottom 25%;2,4373912;M;2,0397092
156;3;0,5141552;42;bottom 25%;1,8588312;M;2,2031212
157;3;0,5141552;46;bottom 25%;1,0323172;F;0,8219882
158;3;0,5141552;50;bottom 25%;0,9496652;F;2,0397092
159;3;0,5141552;12;bottom 25%;2,4373912;M;1,9771072
160;3;0,5141552;9;bottom 25%;0,7017112;M;1,4395322
161;3;0,5141552;22;bottom 25%;0,9496652;F;1,5792202
162;3;0,5141552;18;bottom 25%;1,0323172;M;1,2405332
163;3;0,5141552;20;mid 50%;0,3711052;F;1,3747412
164;3;0,5141552;104;bottom 25%;1,1976192;F;0,8965662
165;3;0,5141552;90;mid 50%;-0,620713;M;0,8219882
166;3;0,5141552;94;bottom 25%;0,9496652;F;2,1029752
167;3;0,5141552;88;mid 50%;-0,951318;M;-0,338842
168;3;0,5141552;87;mid 50%;0,0404992;M;1,0396082
169;3;0,5141552;86;mid 50%;0,0404992;M;1,4395322
170;3;0,5141552;103;bottom 25%;0,6190592;M;0,1340672
171;3;0,5141552;102;mid 50%;0,2058022;M;1,1094382
172;3;0,5141552;98;bottom 25%;0,9496652;F;1,5061852
173;3;0,5141552;51;mid 50%;-0,290107;M;-0,939378
174;3;0,5141552;64;mid 50%;-0,868667;M;-0,265159
175;3;0,5141552;67;bottom 25%;1,2802712;F;0,6107292
176;3;0,5141552;60;bottom 25%;0,5364082;M;0,7472282
177;3;0,5141552;54;mid 50%;0,2884532;F;-0,492781
178;3;0,5141552;83;bottom 25%;0,6190592;M;-0,197611
179;3;0,5141552;71;mid 50%;0,5364082;M;0,9675862
180;3;0,5141552;73;mid 50%;-0,042152;M;2,2031212
181;4;0,0917642;133;mid 50%;0,3711052;F;0,6787592
182;4;0,0917642;121;mid 50%;-0,207455;M;0,4781942
183;4;0,0917642;116;bottom 25%;1,8588312;M;0,2613242
184;4;0,0917642;143;mid 50%;0,1231502;F;0,1941492
185;4;0,0917642;138;top 25%;-1,281924;M;-1,723882
186;4;0,0917642;145;mid 50%;-0,538061;M;-0,419801
187;4;0,0917642;92;mid 50%;-0,372758;F;0,4026692
188;4;0,0917642;93;mid 50%;-0,45541;M;-0,197611
189;4;0,0917642;98;bottom 25%;0,8670142;F;0,0735362
190;4;0,0917642;91;mid 50%;-0,868667;M;-1,526653
191;4;0,0917642;90;mid 50%;-0,290107;F;-0,265159
192;4;0,0917642;113;mid 50%;-1,03397;M;-0,85267
193;4;0,0917642;108;bottom 25%;1,9414832;M;0,3280722
194;4;0,0917642;110;mid 50%;-0,703364;M;-0,85267
195;4;0,0917642;102;mid 50%;-0,042152;M;0,4026692
196;4;0,0917642;104;mid 50%;-0,207455;M;-0,699505
197;4;0,0917642;107;mid 50%;-0,45541;F;0,6787592
198;4;0,0917642;105;bottom 25%;0,8670142;F;2,5323522
199;4;0,0917642;87;mid 50%;0,3711052;M;1,5792202
200;4;0,0917642;182;top 25%;-2,356393;M;-1,62373
201;4;0,0917642;185;mid 50%;0,2884532;M;-0,338842
202;4;0,0917642;178;mid 50%;-0,124804;F;-0,419801
203;4;0,0917642;169;mid 50%;0,2058022;M;-0,623051
204;4;0,0917642;190;bottom 25%;0,6190592;F;1,3101422
205;4;0,0917642;187;bottom 25%;0,9496652;F;0,6787592
206;4;0,0917642;154;mid 50%;-0,868667;M;-0,265159
207;4;0,0917642;155;mid 50%;-0,868667;F;-2,291731
208;4;0,0917642;156;top 25%;-1,199273;M;-0,699505
209;4;0,0917642;153;top 25%;-1,777833;F;-1,438662
210;4;0,0917642;150;bottom 25%;0,6190592;M;-0,129085
211;4;0,0917642;167;mid 50%;-0,042152;M;0,1941492
212;4;0,0917642;157;bottom 25%;0,5364082;M;0,5443412
213;4;0,0917642;158;mid 50%;-0,703364;M;0,6787592
214;4;0,0917642;160;bottom 25%;0,9496652;M;-0,062088
215;4;0,0917642;159;bottom 25%;0,3711052;M;1,1094382
216;4;0,0917642;192;bottom 25%;0,7843622;M;-0,699505
217;4;0,0917642;28;mid 50%;0,3711052;F;-0,85267
218;4;0,0917642;29;top 25%;-1,860484;M;-1,335315
219;4;0,0917642;30;top 25%;-1,860484;M;-2,291731
220;4;0,0917642;27;mid 50%;-0,538061;F;0,1941492
221;4;0,0917642;26;bottom 25%;0,6190592;F;1,4395322
222;4;0,0917642;24;mid 50%;0,0404992;F;0,1340672
223;4;0,0917642;37;mid 50%;0,0404992;F;-0,555112
224;4;0,0917642;38;mid 50%;-0,951318;M;-0,555112
225;4;0,0917642;32;mid 50%;0,1231502;F;0,8965662
226;4;0,0917642;36;mid 50%;-0,207455;M;-0,555112
227;4;0,0917642;34;bottom 25%;1,7761802;F;2,0397092
228;4;0,0917642;39;mid 50%;0,0404992;M;0,8219882
229;4;0,0917642;10;mid 50%;-0,538061;F;1,5792202
230;4;0,0917642;12;mid 50%;0,0404992;F;1,0396082
231;4;0,0917642;6;bottom 25%;2,2720892;F;2,1029752
232;4;0,0917642;5;bottom 25%;1,1976192;M;0,5443412
233;4;0,0917642;22;bottom 25%;2,3547402;M;1,9771072
234;4;0,0917642;20;bottom 25%;1,5282252;F;0,6787592
235;4;0,0917642;21;bottom 25%;0,7017112;M;0,7472282
236;4;0,0917642;14;bottom 25%;2,1067862;M;1,5061852
237;4;0,0917642;19;bottom 25%;0,8670142;F;2,1029752
238;4;0,0917642;15;mid 50%;-0,703364;M;-0,555112
239;4;0,0917642;84;mid 50%;-0,620713;F;-0,555112
240;4;0,0917642;73;bottom 25%;0,8670142;F;-0,062088
241;4;0,0917642;74;mid 50%;0,2058022;M;-1,029067
242;4;0,0917642;75;mid 50%;0,1231502;M;-0,623051
243;4;0,0917642;68;mid 50%;-0,786016;F;-0,492781
244;4;0,0917642;67;top 25%;-1,777833;F;-0,939378
245;4;0,0917642;81;mid 50%;-0,786016;F;-1,029067
246;4;0,0917642;82;bottom 25%;0,6190592;F;0,0735362
247;4;0,0917642;76;bottom 25%;1,6935282;M;1,1758492
248;4;0,0917642;77;mid 50%;-0,703364;M;-1,219486
249;4;0,0917642;79;mid 50%;-0,042152;M;-0,623051
250;4;0,0917642;41;mid 50%;0,4537562;F;2,3136012
251;4;0,0917642;44;mid 50%;-0,951318;M;-1,62373
252;4;0,0917642;49;mid 50%;0,0404992;M;-0,555112
253;4;0,0917642;43;bottom 25%;0,7843622;F;-0,265159
254;4;0,0917642;42;mid 50%;-0,290107;M;-0,85267
255;4;0,0917642;60;bottom 25%;0,7843622;F;0,7472282
256;4;0,0917642;51;bottom 25%;1,8588312;F;1,1094382
257;4;0,0917642;54;bottom 25%;1,4455742;M;1,9003352
258;4;0,0917642;57;mid 50%;-0,538061;M;-0,062088
259;4;0,0917642;55;mid 50%;0,1231502;M;0,3280722
260;5;0,2105252;171;mid 50%;-0,372758;F;1,0396082
261;5;0,2105252;166;mid 50%;0,2058022;M;1,0396082
262;5;0,2105252;172;mid 50%;0,2884532;F;0,1941492
263;5;0,2105252;127;mid 50%;0,0404992;M;0,1941492
264;5;0,2105252;161;bottom 25%;0,9496652;M;0,2613242
265;5;0,2105252;130;bottom 25%;0,7017112;F;1,5061852
266;5;0,2105252;145;bottom 25%;1,1976192;F;0,3280722
267;5;0,2105252;115;mid 50%;-0,372758;F;-0,129085
268;5;0,2105252;238;mid 50%;-0,372758;F;-1,118624
269;5;0,2105252;232;mid 50%;0,5364082;F;0,1941492
270;5;0,2105252;242;mid 50%;-0,124804;M;0,3280722
271;5;0,2105252;250;bottom 25%;1,7761802;M;1,1094382
272;5;0,2105252;197;mid 50%;0,4537562;F;0,7472282
273;5;0,2105252;209;mid 50%;-0,372758;M;-0,062088
274;5;0,2105252;226;mid 50%;-0,207455;M;0,4026692
275;5;0,2105252;218;bottom 25%;2,0241342;F;2,1029752
276;5;0,2105252;225;mid 50%;-0,620713;M;0,3280722
277;5;0,2105252;265;mid 50%;-0,207455;M;1,5792202
278;5;0,2105252;32;mid 50%;0,2884532;F;0,6107292
279;5;0,2105252;39;bottom 25%;0,6190592;F;0,6787592
280;5;0,2105252;41;bottom 25%;0,5364082;M;0,1941492
281;5;0,2105252;4;mid 50%;-1,199273;F;-0,129085
282;5;0,2105252;26;mid 50%;-0,372758;F;1,1758492
283;5;0,2105252;13;bottom 25%;0,7017112;M;0,2613242
284;5;0,2105252;17;bottom 25%;1,1976192;F;1,4395322
285;5;0,2105252;110;mid 50%;0,1231502;M;0,4781942
286;5;0,2105252;84;mid 50%;-0,703364;F;-1,219486
287;5;0,2105252;74;mid 50%;-0,290107;M;-0,492781
288;5;0,2105252;92;mid 50%;0,4537562;M;1,3101422
289;5;0,2105252;93;bottom 25%;0,5364082;M;0,6107292
290;5;0,2105252;53;mid 50%;-0,786016;F;-0,776109
291;5;0,2105252;54;mid 50%;-0,372758;F;-1,219486
292;5;0,2105252;66;bottom 25%;0,8670142;M;1,1758492
293;5;0,2105252;61;bottom 25%;0,5364082;F;0,4026692
294;5;0,2105252;64;mid 50%;-0,290107;F;-0,419801
295;6;0,6376562;109;mid 50%;-0,45541;F;0,6107292
296;6;0,6376562;110;bottom 25%;0,4537562;F;1,0396082
297;6;0,6376562;103;bottom 25%;0,5364082;F;0,8965662
298;6;0,6376562;102;bottom 25%;0,8670142;F;0,4026692
299;6;0,6376562;101;bottom 25%;1,5282252;F;0,1941492
300;6;0,6376562;116;bottom 25%;0,8670142;F;1,9003352
301;6;0,6376562;112;bottom 25%;1,9414832;F;0,0735362
302;6;0,6376562;114;bottom 25%;1,6108772;F;1,3101422
303;6;0,6376562;113;bottom 25%;0,8670142;F;2,0397092
304;6;0,6376562;85;bottom 25%;0,6190592;F;1,5792202
305;6;0,6376562;89;mid 50%;0,2058022;F;1,9003352
306;6;0,6376562;84;mid 50%;0,2058022;F;-0,265159
307;6;0,6376562;81;bottom 25%;2,1894372;F;1,9771072
308;6;0,6376562;99;bottom 25%;0,6190592;F;0,8219882
309;6;0,6376562;96;top 25%;-1,03397;F;0,7472282
310;6;0,6376562;97;bottom 25%;2,2720892;F;1,6618062
311;6;0,6376562;90;bottom 25%;0,5364082;F;2,3136012
312;6;0,6376562;92;bottom 25%;0,5364082;F;1,3747412
313;6;0,6376562;91;bottom 25%;1,1976192;F;1,7348992
314;6;0,6376562;78;bottom 25%;0,7843622;F;0,6787592
315;6;0,6376562;150;bottom 25%;1,8588312;F;2,2031212
316;6;0,6376562;151;mid 50%;0,1231502;F;1,4395322
317;6;0,6376562;152;mid 50%;0,0404992;F;0,4026692
318;6;0,6376562;149;mid 50%;-0,124804;F;1,0396082
319;6;0,6376562;143;mid 50%;-0,372758;F;-0,419801
320;6;0,6376562;159;mid 50%;-1,03397;F;0,2613242
321;6;0,6376562;160;bottom 25%;1,2802712;F;1,2405332
322;6;0,6376562;156;bottom 25%;0,8670142;F;0,4781942
323;6;0,6376562;155;top 25%;-0,951318;F;1,0396082
324;6;0,6376562;120;bottom 25%;0,8670142;F;0,8965662
325;6;0,6376562;123;bottom 25%;2,3547402;F;2,1029752
326;6;0,6376562;122;mid 50%;-0,372758;F;0,5443412
327;6;0,6376562;121;bottom 25%;2,1894372;F;0,9675862
328;6;0,6376562;141;bottom 25%;1,2802712;F;1,5792202
329;6;0,6376562;139;bottom 25%;2,0241342;F;2,6267392
330;6;0,6376562;140;bottom 25%;0,3711052;F;1,2405332
331;6;0,6376562;136;bottom 25%;0,9496652;F;0,6107292
332;6;0,6376562;161;bottom 25%;0,8670142;F;1,3747412
333;6;0,6376562;24;mid 50%;0,2884532;F;1,2405332
334;6;0,6376562;25;bottom 25%;1,4455742;F;1,9771072
335;6;0,6376562;19;mid 50%;0,1231502;F;0,8219882
336;6;0,6376562;17;top 25%;-1,447227;F;-1,723882
337;6;0,6376562;40;bottom 25%;0,6190592;F;0,0735362
338;6;0,6376562;41;bottom 25%;1,1976192;F;1,5792202
339;6;0,6376562;26;bottom 25%;0,9496652;F;1,5792202
340;6;0,6376562;32;bottom 25%;1,1976192;F;2,3136012
341;6;0,6376562;31;mid 50%;0,3711052;F;0,1941492
342;6;0,6376562;43;bottom 25%;2,2720892;F;1,7348992
343;6;0,6376562;7;bottom 25%;1,8588312;F;1,7348992
344;6;0,6376562;4;mid 50%;-0,372758;F;0,0043222
345;6;0,6376562;3;mid 50%;-0,207455;F;0,9675862
346;6;0,6376562;16;mid 50%;-0,124804;F;1,3747412
347;6;0,6376562;14;bottom 25%;2,0241342;F;1,3101422
348;6;0,6376562;15;mid 50%;0,2884532;F;0,5443412
349;6;0,6376562;8;bottom 25%;1,3629222;F;1,5792202
350;6;0,6376562;9;mid 50%;0,0404992;F;-0,699505
351;6;0,6376562;13;bottom 25%;1,6935282;F;1,2405332
352;6;0,6376562;11;mid 50%;0,5364082;F;1,1758492
353;6;0,6376562;77;mid 50%;0,2058022;F;0,4026692
354;6;0,6376562;65;bottom 25%;1,1976192;F;1,7348992
355;6;0,6376562;66;mid 50%;0,2884532;F;-0,939378
356;6;0,6376562;67;bottom 25%;0,3711052;F;0,4026692
357;6;0,6376562;64;bottom 25%;0,6190592;F;1,3101422
358;6;0,6376562;62;mid 50%;-0,042152;F;0,0043222
359;6;0,6376562;61;mid 50%;-0,290107;F;1,1094382
360;6;0,6376562;74;mid 50%;0,0404992;F;0,8965662
361;6;0,6376562;75;mid 50%;-0,207455;F;-0,492781
362;6;0,6376562;69;mid 50%;-0,620713;F;0,4781942
363;6;0,6376562;44;bottom 25%;0,8670142;F;0,8219882
364;6;0,6376562;48;mid 50%;0,1231502;F;0,6787592
365;6;0,6376562;49;bottom 25%;1,0323172;F;1,8138272
366;6;0,6376562;50;bottom 25%;1,1149682;F;1,5061852
367;6;0,6376562;47;mid 50%;0,1231502;F;0,9675862
368;6;0,6376562;45;mid 50%;-0,372758;F;0,3280722
369;6;0,6376562;58;mid 50%;0,4537562;F;-0,419801
370;6;0,6376562;57;mid 50%;-0,124804;F;0,3280722
371;6;0,6376562;52;bottom 25%;1,6108772;F;0,3280722
372;6;0,6376562;53;bottom 25%;0,5364082;F;-0,623051
373;6;0,6376562;55;bottom 25%;1,1149682;F;1,9771072
374;6;0,6376562;54;mid 50%;0,2884532;F;1,3101422
375;7;-0,029003;135;mid 50%;0,2884532;F;-2,108644
376;7;-0,029003;136;top 25%;-2,356393;F;-0,419801
377;7;-0,029003;138;mid 50%;-0,703364;F;0,4781942
378;7;-0,029003;134;mid 50%;-0,372758;F;0,2613242
379;7;-0,029003;132;top 25%;-1,116621;F;-1,335315
380;7;-0,029003;131;mid 50%;0,2058022;F;0,7472282
381;7;-0,029003;145;mid 50%;0,1231502;F;-0,419801
382;7;-0,029003;148;mid 50%;-0,45541;F;0,0043222
383;7;-0,029003;139;mid 50%;0,0404992;F;0,4781942
384;7;-0,029003;143;bottom 25%;1,0323172;F;1,5792202
385;7;-0,029003;141;top 25%;-1,03397;F;1,6618062
386;7;-0,029003;151;mid 50%;-0,124804;F;0,8965662
387;7;-0,029003;115;mid 50%;0,0404992;F;0,9675862
388;7;-0,029003;116;bottom 25%;0,9496652;F;1,3747412
389;7;-0,029003;117;mid 50%;-0,207455;F;0,8219882
390;7;-0,029003;114;mid 50%;-0,372758;F;0,3280722
391;7;-0,029003;111;bottom 25%;0,4537562;F;1,2405332
392;7;-0,029003;130;bottom 25%;0,5364082;F;0,0043222
393;7;-0,029003;127;mid 50%;-0,538061;F;-0,492781
394;7;-0,029003;129;mid 50%;-0,207455;F;0,8965662
395;7;-0,029003;119;mid 50%;-0,290107;F;0,5443412
396;7;-0,029003;125;mid 50%;-0,042152;F;-0,265159
397;7;-0,029003;123;mid 50%;-0,538061;F;0,1941492
398;7;-0,029003;110;bottom 25%;1,6935282;F;1,9771072
399;7;-0,029003;185;mid 50%;-0,124804;F;1,3101422
400;7;-0,029003;186;mid 50%;-0,290107;F;1,7348992
401;7;-0,029003;187;mid 50%;-0,703364;F;0,4781942
402;7;-0,029003;184;mid 50%;-0,207455;F;1,1094382
403;7;-0,029003;183;bottom 25%;2,4373912;F;1,2405332
404;7;-0,029003;182;bottom 25%;1,8588312;F;0,6787592
405;7;-0,029003;195;mid 50%;-0,868667;F;-0,85267
406;7;-0,029003;197;mid 50%;-0,703364;F;0,6107292
407;7;-0,029003;188;mid 50%;-0,042152;F;-0,555112
408;7;-0,029003;192;bottom 25%;1,9414832;F;1,4395322
409;7;-0,029003;191;mid 50%;-0,538061;F;0,1941492
410;7;-0,029003;153;mid 50%;-0,207455;F;0,7472282
411;7;-0,029003;156;bottom 25%;2,2720892;F;0,8219882
412;7;-0,029003;155;mid 50%;0,0404992;F;1,2405332
413;7;-0,029003;154;mid 50%;0,1231502;F;0,3280722
414;7;-0,029003;180;mid 50%;-0,124804;F;0,8219882
415;7;-0,029003;178;bottom 25%;1,3629222;F;1,1758492
416;7;-0,029003;179;mid 50%;-0,45541;F;0,0735362
417;7;-0,029003;162;mid 50%;-0,45541;F;0,8219882
418;7;-0,029003;163;mid 50%;-0,372758;F;-0,623051
419;7;-0,029003;169;top 25%;-1,281924;F;1,1758492
420;7;-0,029003;201;mid 50%;-0,290107;F;-0,623051
421;7;-0,029003;30;mid 50%;-0,786016;F;-0,197611
422;7;-0,029003;32;mid 50%;-0,207455;F;0,4781942
423;7;-0,029003;35;mid 50%;-0,124804;F;-0,129085
424;7;-0,029003;28;mid 50%;0,0404992;F;0,1340672
425;7;-0,029003;26;mid 50%;0,1231502;F;0,5443412
426;7;-0,029003;46;bottom 25%;0,6190592;F;0,4781942
427;7;-0,029003;48;mid 50%;0,0404992;F;0,1941492
428;7;-0,029003;38;top 25%;-1,695182;F;1,6618062
429;7;-0,029003;49;mid 50%;-0,868667;F;-1,335315
430;7;-0,029003;6;mid 50%;-0,45541;F;0,9675862
